County Name,Body System,Birth Defect,YearText,Cases along ,"Prevalence per 10,000 Live Births along ",95% Confidence Interval: Lower,95% Confidence Interval: Upper
Anderson,Total,Infants and fetuses with regular reportable birth defects,2014,25,437.83,283.34,646.32
Andrews,Total,Infants and fetuses with regular reportable birth defects,2014,13,377.91,201.22,646.23
Angelina,Total,Infants and fetuses with regular reportable birth defects,2014,46,391.82,286.86,522.64
Aransas,Total,Infants and fetuses with regular reportable birth defects,2014,15,547.45,306.4,902.93
Archer,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Armstrong,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Atascosa,Total,Infants and fetuses with regular reportable birth defects,2014,34,481.59,333.51,672.97
Austin,Total,Infants and fetuses with regular reportable birth defects,2014,20,552.49,337.47,853.27
Bailey,Total,Infants and fetuses with regular reportable birth defects,2014,8,733.94,316.87,"1,446.16"
Bandera,Total,Infants and fetuses with regular reportable birth defects,2014,9,569.62,260.47,"1,081.32"
Bastrop,Total,Infants and fetuses with regular reportable birth defects,2014,51,490.38,365.12,644.77
Baylor,Total,Infants and fetuses with regular reportable birth defects,2014,0,0,0,857.88
Bee,Total,Infants and fetuses with regular reportable birth defects,2014,20,480.77,293.67,742.51
Bell,Total,Infants and fetuses with regular reportable birth defects,2014,426,685.22,620.15,750.29
Bexar,Total,Infants and fetuses with regular reportable birth defects,2014,"1,592",574.07,545.87,602.27
Blanco,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
Borden,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,0,"6,148.13"
Bosque,Total,Infants and fetuses with regular reportable birth defects,2014,6,363.64,133.45,791.48
Bowie,Total,Infants and fetuses with regular reportable birth defects,2014,50,410.85,304.94,541.65
Brazoria,Total,Infants and fetuses with regular reportable birth defects,2014,265,554.28,487.54,621.01
Brazos,Total,Infants and fetuses with regular reportable birth defects,2014,154,544.94,458.87,631.01
Brewster,Total,Infants and fetuses with regular reportable birth defects,2014,6,582.52,213.78,"1,267.91"
Briscoe,Total,Infants and fetuses with regular reportable birth defects,2014,0,---,0,"3,353.53"
Brooks,Total,Infants and fetuses with regular reportable birth defects,2014,---,---,---,---
