County Name,Body System,Birth Defect,YearText,Cases along ,"Prevalence per 10,000 Live Births along ",95% Confidence Interval: Lower,95% Confidence Interval: Upper
Anderson,Total,Infants and fetuses with regular reportable birth defects,2016,24,414.51,265.58,616.75
Andrews,Total,Infants and fetuses with regular reportable birth defects,2016,12,402.68,208.07,703.41
Angelina,Total,Infants and fetuses with regular reportable birth defects,2016,51,435.15,324,572.15
Aransas,Total,Infants and fetuses with regular reportable birth defects,2016,18,756.3,448.23,"1,195.28"
Archer,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Armstrong,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Atascosa,Total,Infants and fetuses with regular reportable birth defects,2016,39,574.37,408.44,785.19
Austin,Total,Infants and fetuses with regular reportable birth defects,2016,20,579.71,354.1,895.32
Bailey,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Bandera,Total,Infants and fetuses with regular reportable birth defects,2016,7,391.06,157.23,805.74
Bastrop,Total,Infants and fetuses with regular reportable birth defects,2016,55,492.83,371.27,641.49
Baylor,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Bee,Total,Infants and fetuses with regular reportable birth defects,2016,18,497.24,294.69,785.85
Bell,Total,Infants and fetuses with regular reportable birth defects,2016,372,608.94,547.06,670.82
Bexar,Total,Infants and fetuses with regular reportable birth defects,2016,"1,833",658.67,628.51,688.82
Blanco,Total,Infants and fetuses with regular reportable birth defects,2016,12,"1,025.64",529.96,"1,791.59"
Borden,Total,Infants and fetuses with regular reportable birth defects,2016,0,---,0,"5,269.83"
Bosque,Total,Infants and fetuses with regular reportable birth defects,2016,8,398.01,171.83,784.24
Bowie,Total,Infants and fetuses with regular reportable birth defects,2016,54,437.6,328.74,570.97
Brazoria,Total,Infants and fetuses with regular reportable birth defects,2016,344,718.01,642.14,793.89
Brazos,Total,Infants and fetuses with regular reportable birth defects,2016,135,488.07,405.74,570.4
Brewster,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Briscoe,Total,Infants and fetuses with regular reportable birth defects,2016,0,---,0,"3,353.53"
Brooks,Total,Infants and fetuses with regular reportable birth defects,2016,15,"1,260.50",705.49,"2,079.01"
Brown,Total,Infants and fetuses with regular reportable birth defects,2016,19,452.38,272.36,706.45
Burleson,Total,Infants and fetuses with regular reportable birth defects,2016,14,657.28,359.34,"1,102.80"
Burnet,Total,Infants and fetuses with regular reportable birth defects,2016,32,599.25,409.89,845.96
Caldwell,Total,Infants and fetuses with regular reportable birth defects,2016,30,534.76,360.8,763.4
Calhoun,Total,Infants and fetuses with regular reportable birth defects,2016,16,544.22,311.07,883.78
Callahan,Total,Infants and fetuses with regular reportable birth defects,2016,10,641.03,307.4,"1,178.87"
Cameron,Total,Infants and fetuses with regular reportable birth defects,2016,350,509.98,456.55,563.41
Camp,Total,Infants and fetuses with regular reportable birth defects,2016,9,529.41,242.08,"1,004.99"
Carson,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Cass,Total,Infants and fetuses with regular reportable birth defects,2016,14,426.83,233.35,716.15
Castro,Total,Infants and fetuses with regular reportable birth defects,2016,7,673.08,270.61,"1,386.80"
Chambers,Total,Infants and fetuses with regular reportable birth defects,2016,40,723.33,516.76,984.97
Cherokee,Total,Infants and fetuses with regular reportable birth defects,2016,45,631.14,460.35,844.51
Childress,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Clay,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Cochran,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Coke,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Coleman,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Collin,Total,Infants and fetuses with regular reportable birth defects,2016,715,647,599.58,694.43
Collingsworth,Total,Infants and fetuses with regular reportable birth defects,2016,0,0,0,970.76
Colorado,Total,Infants and fetuses with regular reportable birth defects,2016,13,511.81,272.52,875.21
Comal,Total,Infants and fetuses with regular reportable birth defects,2016,65,450.45,347.65,574.14
Comanche,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Concho,Total,Infants and fetuses with regular reportable birth defects,2016,0,0,0,"1,844.44"
Cooke,Total,Infants and fetuses with regular reportable birth defects,2016,21,358.36,221.83,547.79
Coryell,Total,Infants and fetuses with regular reportable birth defects,2016,54,590.16,443.35,770.04
Cottle,Total,Infants and fetuses with regular reportable birth defects,2016,0,---,0,"2,837.60"
Crane,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Crockett,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Crosby,Total,Infants and fetuses with regular reportable birth defects,2016,6,821.92,301.63,"1,788.97"
Culberson,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Dallam,Total,Infants and fetuses with regular reportable birth defects,2016,7,411.76,165.55,848.39
Dallas,Total,Infants and fetuses with regular reportable birth defects,2016,"2,853",710.89,684.8,736.97
Dawson,Total,Infants and fetuses with regular reportable birth defects,2016,10,564.97,270.93,"1,039.00"
Deaf Smith,Total,Infants and fetuses with regular reportable birth defects,2016,18,538.92,319.4,851.73
Delta,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Denton,Total,Infants and fetuses with regular reportable birth defects,2016,601,590.2,543.01,637.39
DeWitt,Total,Infants and fetuses with regular reportable birth defects,2016,12,478.09,247.03,835.12
Dickens,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Dimmit,Total,Infants and fetuses with regular reportable birth defects,2016,6,370.37,135.92,806.14
Donley,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Duval,Total,Infants and fetuses with regular reportable birth defects,2016,11,743.24,371.02,"1,329.87"
Eastland,Total,Infants and fetuses with regular reportable birth defects,2016,11,497.74,248.47,890.59
Ector,Total,Infants and fetuses with regular reportable birth defects,2016,210,747.86,646.71,849.01
Edwards,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
El Paso,Total,Infants and fetuses with regular reportable birth defects,2016,649,499.08,460.68,537.47
Ellis,Total,Infants and fetuses with regular reportable birth defects,2016,174,779.92,664.03,895.81
Erath,Total,Infants and fetuses with regular reportable birth defects,2016,34,699.59,484.49,977.6
Falls,Total,Infants and fetuses with regular reportable birth defects,2016,9,373.44,170.76,708.91
Fannin,Total,Infants and fetuses with regular reportable birth defects,2016,20,536.19,327.52,828.11
Fayette,Total,Infants and fetuses with regular reportable birth defects,2016,6,269.06,98.74,585.63
Fisher,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Floyd,Total,Infants and fetuses with regular reportable birth defects,2016,6,769.23,282.29,"1,674.29"
Foard,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Fort Bend,Total,Infants and fetuses with regular reportable birth defects,2016,618,620.23,571.33,669.13
Franklin,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Freestone,Total,Infants and fetuses with regular reportable birth defects,2016,12,579.71,299.54,"1,012.64"
Frio,Total,Infants and fetuses with regular reportable birth defects,2016,16,645.16,368.77,"1,047.70"
Gaines,Total,Infants and fetuses with regular reportable birth defects,2016,14,316.74,173.17,531.44
Galveston,Total,Infants and fetuses with regular reportable birth defects,2016,431,"1,036.06",938.24,"1,133.87"
Garza,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Gillespie,Total,Infants and fetuses with regular reportable birth defects,2016,16,610.69,349.06,991.72
Glasscock,Total,Infants and fetuses with regular reportable birth defects,2016,0,---,0,"2,169.93"
Goliad,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Gonzales,Total,Infants and fetuses with regular reportable birth defects,2016,8,264.9,114.37,521.96
Gray,Total,Infants and fetuses with regular reportable birth defects,2016,17,580.2,337.99,928.96
Grayson,Total,Infants and fetuses with regular reportable birth defects,2016,71,462.54,361.25,583.43
Gregg,Total,Infants and fetuses with regular reportable birth defects,2016,79,455.33,360.49,567.48
Grimes,Total,Infants and fetuses with regular reportable birth defects,2016,19,542.86,326.84,847.74
Guadalupe,Total,Infants and fetuses with regular reportable birth defects,2016,90,488.07,392.47,599.92
Hale,Total,Infants and fetuses with regular reportable birth defects,2016,31,734.6,499.12,"1,042.70"
Hall,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Hamilton,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Hansford,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Hardeman,Total,Infants and fetuses with regular reportable birth defects,2016,0,0,0,"1,084.96"
Hardin,Total,Infants and fetuses with regular reportable birth defects,2016,44,625,454.13,839.03
Harris,Total,Infants and fetuses with regular reportable birth defects,2016,"4,974",688.72,669.58,707.86
Harrison,Total,Infants and fetuses with regular reportable birth defects,2016,40,466.2,333.06,634.83
Hartley,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Haskell,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Hays,Total,Infants and fetuses with regular reportable birth defects,2016,111,444.71,361.98,527.44
Hemphill,Total,Infants and fetuses with regular reportable birth defects,2016,0,0,0,737.78
Henderson,Total,Infants and fetuses with regular reportable birth defects,2016,68,755.56,586.72,957.85
Hidalgo,Total,Infants and fetuses with regular reportable birth defects,2016,"1,172",783.58,738.72,828.44
Hill,Total,Infants and fetuses with regular reportable birth defects,2016,19,457.83,275.64,714.96
Hockley,Total,Infants and fetuses with regular reportable birth defects,2016,16,601.5,343.81,976.8
Hood,Total,Infants and fetuses with regular reportable birth defects,2016,51,840.2,625.58,"1,104.70"
Hopkins,Total,Infants and fetuses with regular reportable birth defects,2016,40,838.57,599.09,"1,141.90"
Houston,Total,Infants and fetuses with regular reportable birth defects,2016,12,480,248.02,838.46
Howard,Total,Infants and fetuses with regular reportable birth defects,2016,35,736.84,513.24,"1,024.77"
Hudspeth,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Hunt,Total,Infants and fetuses with regular reportable birth defects,2016,71,630.55,492.47,795.35
Hutchinson,Total,Infants and fetuses with regular reportable birth defects,2016,20,657.89,401.86,"1,016.07"
Irion,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Jack,Total,Infants and fetuses with regular reportable birth defects,2016,7,736.84,296.25,"1,518.18"
Jackson,Total,Infants and fetuses with regular reportable birth defects,2016,9,459.18,209.97,871.67
Jasper,Total,Infants and fetuses with regular reportable birth defects,2016,14,341.46,186.68,572.92
Jeff Davis,Total,Infants and fetuses with regular reportable birth defects,2016,0,---,0,"2,459.25"
Jefferson,Total,Infants and fetuses with regular reportable birth defects,2016,209,585.27,505.92,664.62
Jim Hogg,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Jim Wells,Total,Infants and fetuses with regular reportable birth defects,2016,47,758.06,557,"1,008.07"
Johnson,Total,Infants and fetuses with regular reportable birth defects,2016,125,600.38,495.13,705.64
Jones,Total,Infants and fetuses with regular reportable birth defects,2016,10,581.4,278.8,"1,069.21"
Karnes,Total,Infants and fetuses with regular reportable birth defects,2016,11,604.4,301.71,"1,081.43"
Kaufman,Total,Infants and fetuses with regular reportable birth defects,2016,110,667.88,543.07,792.69
Kendall,Total,Infants and fetuses with regular reportable birth defects,2016,18,489.13,289.89,773.04
Kenedy,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Kent,Total,Infants and fetuses with regular reportable birth defects,2016,0,---,0,"6,148.13"
Kerr,Total,Infants and fetuses with regular reportable birth defects,2016,26,476.19,311.06,697.73
Kimble,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
King,Total,Infants and fetuses with regular reportable birth defects,2016,0,---,---,---
Kinney,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Kleberg,Total,Infants and fetuses with regular reportable birth defects,2016,21,504.81,312.48,771.65
Knox,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
La Salle,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Lamar,Total,Infants and fetuses with regular reportable birth defects,2016,25,374.25,242.2,552.47
Lamb,Total,Infants and fetuses with regular reportable birth defects,2016,20,"1,005.03",613.9,"1,552.18"
Lampasas,Total,Infants and fetuses with regular reportable birth defects,2016,16,733.94,419.51,"1,191.88"
Lavaca,Total,Infants and fetuses with regular reportable birth defects,2016,6,258.62,94.91,562.91
Lee,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Leon,Total,Infants and fetuses with regular reportable birth defects,2016,11,528.85,264,946.25
Liberty,Total,Infants and fetuses with regular reportable birth defects,2016,60,548.95,418.91,706.6
Limestone,Total,Infants and fetuses with regular reportable birth defects,2016,34,"1,100.32",762.01,"1,537.59"
Lipscomb,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Live Oak,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Llano,Total,Infants and fetuses with regular reportable birth defects,2016,8,479.04,206.82,943.9
Loving,Total,Infants and fetuses with regular reportable birth defects,2016,0,---,---,---
Lubbock,Total,Infants and fetuses with regular reportable birth defects,2016,294,691.44,612.4,770.48
Lynn,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Madison,Total,Infants and fetuses with regular reportable birth defects,2016,7,440.25,177,907.09
Marion,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Martin,Total,Infants and fetuses with regular reportable birth defects,2016,8,761.9,328.94,"1,501.26"
Mason,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Matagorda,Total,Infants and fetuses with regular reportable birth defects,2016,20,362.32,221.31,559.57
Maverick,Total,Infants and fetuses with regular reportable birth defects,2016,49,456.24,337.53,603.17
McCulloch,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
McLennan,Total,Infants and fetuses with regular reportable birth defects,2016,248,735.03,643.55,826.51
McMullen,Total,Infants and fetuses with regular reportable birth defects,2016,0,---,0,"3,688.88"
Medina,Total,Infants and fetuses with regular reportable birth defects,2016,37,626.06,440.8,862.94
Menard,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Midland,Total,Infants and fetuses with regular reportable birth defects,2016,237,818.65,714.43,922.88
Milam,Total,Infants and fetuses with regular reportable birth defects,2016,16,521.17,297.9,846.35
Mills,Total,Infants and fetuses with regular reportable birth defects,2016,0,0,0,838.38
Mitchell,Total,Infants and fetuses with regular reportable birth defects,2016,0,0,0,372.61
Montague,Total,Infants and fetuses with regular reportable birth defects,2016,25,"1,020.41",660.35,"1,506.32"
Montgomery,Total,Infants and fetuses with regular reportable birth defects,2016,466,634.96,577.31,692.62
Moore,Total,Infants and fetuses with regular reportable birth defects,2016,21,460.53,285.07,703.96
Morris,Total,Infants and fetuses with regular reportable birth defects,2016,13,902.78,480.69,"1,543.78"
Motley,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Nacogdoches,Total,Infants and fetuses with regular reportable birth defects,2016,35,434.78,302.84,604.68
Navarro,Total,Infants and fetuses with regular reportable birth defects,2016,48,668.52,492.92,886.37
Newton,Total,Infants and fetuses with regular reportable birth defects,2016,6,461.54,169.38,"1,004.57"
Nolan,Total,Infants and fetuses with regular reportable birth defects,2016,9,439.02,200.75,833.4
Nueces,Total,Infants and fetuses with regular reportable birth defects,2016,326,689.22,614.4,764.04
Ochiltree,Total,Infants and fetuses with regular reportable birth defects,2016,8,410.26,177.12,808.37
Oldham,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Orange,Total,Infants and fetuses with regular reportable birth defects,2016,45,402.5,293.59,538.58
Palo Pinto,Total,Infants and fetuses with regular reportable birth defects,2016,18,535.71,317.5,846.66
Panola,Total,Infants and fetuses with regular reportable birth defects,2016,11,410.45,204.89,734.4
Parker,Total,Infants and fetuses with regular reportable birth defects,2016,97,632.33,512.78,771.39
Parmer,Total,Infants and fetuses with regular reportable birth defects,2016,10,526.32,252.39,967.91
Pecos,Total,Infants and fetuses with regular reportable birth defects,2016,6,306.12,112.34,666.3
Polk,Total,Infants and fetuses with regular reportable birth defects,2016,20,386.85,236.3,597.45
Potter,Total,Infants and fetuses with regular reportable birth defects,2016,126,669.14,552.31,785.98
Presidio,Total,Infants and fetuses with regular reportable birth defects,2016,---,---,---,---
Rains,Total,Infants and fetuses with regular reportable birth defects,2016,6,705.88,259.05,"1,536.41"
Randall,Total,Infants and fetuses with regular reportable birth defects,2016,120,731.71,600.79,862.63
