County Name,Body System,Birth Defect,YearText,Cases along ,"Prevalence per 10,000 Live Births along ",95% Confidence Interval: Lower,95% Confidence Interval: Upper
Anderson,Total,Infants and fetuses with regular reportable birth defects,2013,19,323.68,194.88,505.47
Andrews,Total,Infants and fetuses with regular reportable birth defects,2013,13,392.75,209.12,671.61
Angelina,Total,Infants and fetuses with regular reportable birth defects,2013,41,330.91,237.47,448.92
Aransas,Total,Infants and fetuses with regular reportable birth defects,2013,15,566.04,316.81,933.59
Archer,Total,Infants and fetuses with regular reportable birth defects,2013,---,---,---,---
Armstrong,Total,Infants and fetuses with regular reportable birth defects,2013,0,0,0,"1,418.80"
Atascosa,Total,Infants and fetuses with regular reportable birth defects,2013,34,531.25,367.91,742.37
Austin,Total,Infants and fetuses with regular reportable birth defects,2013,18,547.11,324.25,864.67
Bailey,Total,Infants and fetuses with regular reportable birth defects,2013,---,---,---,---
Bandera,Total,Infants and fetuses with regular reportable birth defects,2013,10,632.91,303.51,"1,163.95"
Bastrop,Total,Infants and fetuses with regular reportable birth defects,2013,38,388.15,274.68,532.77
Baylor,Total,Infants and fetuses with regular reportable birth defects,2013,---,---,---,---
Bee,Total,Infants and fetuses with regular reportable birth defects,2013,16,405.06,231.53,657.8
Bell,Total,Infants and fetuses with regular reportable birth defects,2013,405,637.39,575.32,699.47
Bexar,Total,Infants and fetuses with regular reportable birth defects,2013,"1,644",614.72,585,644.43
Blanco,Total,Infants and fetuses with regular reportable birth defects,2013,---,---,---,---
Borden,Total,Infants and fetuses with regular reportable birth defects,2013,---,---,---,---
Bosque,Total,Infants and fetuses with regular reportable birth defects,2013,11,550,274.56,984.1
Bowie,Total,Infants and fetuses with regular reportable birth defects,2013,64,541.46,416.99,691.43
Brazoria,Total,Infants and fetuses with regular reportable birth defects,2013,211,451.72,390.77,512.68
Brazos,Total,Infants and fetuses with regular reportable birth defects,2013,106,402.43,325.82,479.04
Brewster,Total,Infants and fetuses with regular reportable birth defects,2013,7,608.7,244.73,"1,254.15"
Briscoe,Total,Infants and fetuses with regular reportable birth defects,2013,0,---,0,"3,074.07"
Brooks,Total,Infants and fetuses with regular reportable birth defects,2013,---,---,---,---
