County,"Nurse, Nurse Practitioner with NPI (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Anderson County, TX",39,58402,66.78,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Andrews County, TX",14,18440,75.92,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Angelina County, TX",90,86506,104.04,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Aransas County, TX",13,24510,53.04,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Archer County, TX",1,8681,11.52,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Armstrong County, TX",0,1839,0.00,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Atascosa County, TX",23,49939,46.06,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Austin County, TX",14,30380,46.08,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Bailey County, TX",5,6835,73.15,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Bandera County, TX",11,21565,51.01,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Bastrop County, TX",30,102058,29.40,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Baylor County, TX",2,3477,57.52,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Bee County, TX",17,30924,54.97,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Bell County, TX",448,379617,118.01,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Bexar County, TX",2055,2028236,101.32,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Blanco County, TX",6,11886,50.48,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Borden County, TX",0,617,0.00,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Bosque County, TX",7,18503,37.83,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Bowie County, TX",184,92581,198.74,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Brazoria County, TX",245,379689,64.53,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Brazos County, TX",130,237032,54.84,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Brewster County, TX",7,9450,74.07,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Briscoe County, TX",1,1403,71.28,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Brooks County, TX",1,6994,14.30,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Brown County, TX",31,38192,81.17,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Burleson County, TX",3,18051,16.62,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Burnet County, TX",28,50954,54.95,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Caldwell County, TX",11,46791,23.51,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Calhoun County, TX",15,19727,76.04,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Callahan County, TX",6,14115,42.51,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Cameron County, TX",273,423029,64.53,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Camp County, TX",4,12616,31.71,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Carson County, TX",11,5746,191.44,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Cass County, TX",15,28560,52.52,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Castro County, TX",4,7374,54.24,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Chambers County, TX",21,48865,42.98,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Cherokee County, TX",38,51097,74.37,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Childress County, TX",8,6736,118.76,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Clay County, TX",2,10263,19.49,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Cochran County, TX",2,2516,79.49,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Coke County, TX",0,3321,0.00,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Coleman County, TX",4,7735,51.71,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Collin County, TX",873,1109462,78.69,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Collingsworth County, TX",2,2615,76.48,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
"Colorado County, TX",6,20630,29.08,CMS National Provider Identifier File 2021; Census County Pop. Estimates 2021
