County,"M.D., All M.D. (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Anderson County, TX",63,58402,107.87,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Andrews County, TX",14,18440,75.92,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Angelina County, TX",178,86506,205.77,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Aransas County, TX",25,24510,102.00,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Archer County, TX",4,8681,46.08,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Armstrong County, TX",0,1839,0.00,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Atascosa County, TX",26,49939,52.06,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Austin County, TX",23,30380,75.71,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Bailey County, TX",3,6835,43.89,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Bandera County, TX",21,21565,97.38,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Bastrop County, TX",63,102058,61.73,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Baylor County, TX",5,3477,143.80,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Bee County, TX",20,30924,64.67,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Bell County, TX",1623,379617,427.54,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Bexar County, TX",8079,2028236,398.33,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Blanco County, TX",12,11886,100.96,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Borden County, TX",0,617,0.00,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Bosque County, TX",17,18503,91.88,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Bowie County, TX",283,92581,305.68,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Brazoria County, TX",881,379689,232.03,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Brazos County, TX",710,237032,299.54,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Brewster County, TX",18,9450,190.48,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Briscoe County, TX",0,1403,0.00,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Brooks County, TX",0,6994,0.00,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Brown County, TX",61,38192,159.72,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Burleson County, TX",14,18051,77.56,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Burnet County, TX",80,50954,157.00,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Caldwell County, TX",26,46791,55.57,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Calhoun County, TX",16,19727,81.11,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Callahan County, TX",5,14115,35.42,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Cameron County, TX",687,423029,162.40,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Camp County, TX",16,12616,126.82,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Carson County, TX",0,5746,0.00,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Cass County, TX",9,28560,31.51,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Castro County, TX",3,7374,40.68,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Chambers County, TX",16,48865,32.74,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Cherokee County, TX",72,51097,140.91,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Childress County, TX",13,6736,192.99,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Clay County, TX",6,10263,58.46,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Cochran County, TX",2,2516,79.49,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Coke County, TX",3,3321,90.33,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Coleman County, TX",10,7735,129.28,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Collin County, TX",3673,1109462,331.06,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Collingsworth County, TX",1,2615,38.24,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Colorado County, TX",26,20630,126.03,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Comal County, TX",393,174986,224.59,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
"Comanche County, TX",9,13775,65.34,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
