County,"Nurse, Nurse Practitioner with NPI (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Anderson County, TX",33,57805,57.09,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Andrews County, TX",13,18879,68.86,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Angelina County, TX",80,86796,92.17,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Aransas County, TX",11,23814,46.19,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Archer County, TX",0,8730,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Armstrong County, TX",0,1869,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Atascosa County, TX",21,51724,40.60,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Austin County, TX",14,29972,46.71,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Bailey County, TX",4,6697,59.73,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Bandera County, TX",9,23861,37.72,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Bastrop County, TX",28,91601,30.57,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Baylor County, TX",0,3518,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Bee County, TX",15,32513,46.14,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Bell County, TX",403,369927,108.94,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Bexar County, TX",1829,2026823,90.24,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Blanco County, TX",6,12269,48.90,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Borden County, TX",0,706,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Bosque County, TX",8,18603,43.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Bowie County, TX",172,93481,183.99,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Brazoria County, TX",229,380518,60.18,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Brazos County, TX",120,232555,51.60,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Brewster County, TX",8,9237,86.61,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Briscoe County, TX",1,1487,67.25,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Brooks County, TX",2,6964,28.72,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Brown County, TX",27,37633,71.75,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Burleson County, TX",3,18514,16.20,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Burnet County, TX",24,49653,48.34,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Caldwell County, TX",11,43979,25.01,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Calhoun County, TX",14,21001,66.66,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Callahan County, TX",6,14110,42.52,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Cameron County, TX",250,424180,58.94,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Camp County, TX",3,13060,22.97,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Carson County, TX",10,5854,170.82,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Cass County, TX",15,29879,50.20,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Castro County, TX",4,7396,54.08,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Chambers County, TX",17,45590,37.29,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Cherokee County, TX",35,52875,66.19,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Childress County, TX",8,7143,112.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Clay County, TX",1,10550,9.48,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Cochran County, TX",2,2897,69.04,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Coke County, TX",0,3323,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Coleman County, TX",3,8100,37.04,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Collin County, TX",765,1072069,71.36,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Collingsworth County, TX",2,2877,69.52,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Colorado County, TX",6,21610,27.76,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Comal County, TX",86,164812,52.18,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Comanche County, TX",7,13750,50.91,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Concho County, TX",1,2827,35.37,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Cooke County, TX",33,41393,79.72,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Coryell County, TX",33,76737,43.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Cottle County, TX",0,1363,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Crane County, TX",0,4765,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Crockett County, TX",0,3513,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Crosby County, TX",2,5567,35.93,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
"Culberson County, TX",0,2149,0.00,CMS National Provider Identifier File 2020; Census County Pop. Estimates 2020
