County,"M.D., All M.D. (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
"Anderson County, TX",62,57805,107.26,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Andrews County, TX",14,18879,74.16,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Angelina County, TX",176,86796,202.77,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Aransas County, TX",25,23814,104.98,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Archer County, TX",3,8730,34.36,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Armstrong County, TX",0,1869,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Atascosa County, TX",25,51724,48.33,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Austin County, TX",25,29972,83.41,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Bailey County, TX",3,6697,44.80,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Bandera County, TX",20,23861,83.82,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Bastrop County, TX",61,91601,66.59,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Baylor County, TX",5,3518,142.13,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Bee County, TX",21,32513,64.59,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Bell County, TX",1610,369927,435.22,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Bexar County, TX",7988,2026823,394.11,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Blanco County, TX",14,12269,114.11,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Borden County, TX",0,706,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Bosque County, TX",17,18603,91.38,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Bowie County, TX",288,93481,308.08,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Brazoria County, TX",855,380518,224.69,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Brazos County, TX",678,232555,291.54,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Brewster County, TX",15,9237,162.39,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Briscoe County, TX",0,1487,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Brooks County, TX",0,6964,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Brown County, TX",60,37633,159.43,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Burleson County, TX",14,18514,75.62,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Burnet County, TX",74,49653,149.03,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Caldwell County, TX",27,43979,61.39,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Calhoun County, TX",17,21001,80.95,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Callahan County, TX",3,14110,21.26,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Cameron County, TX",660,424180,155.59,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Camp County, TX",16,13060,122.51,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Carson County, TX",0,5854,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Cass County, TX",9,29879,30.12,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Castro County, TX",2,7396,27.04,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Chambers County, TX",14,45590,30.71,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Cherokee County, TX",72,52875,136.17,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Childress County, TX",13,7143,182.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Clay County, TX",6,10550,56.87,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Cochran County, TX",2,2897,69.04,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Coke County, TX",4,3323,120.37,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Coleman County, TX",9,8100,111.11,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Collin County, TX",3537,1072069,329.92,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Collingsworth County, TX",1,2877,34.76,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Colorado County, TX",24,21610,111.06,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Comal County, TX",364,164812,220.86,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Comanche County, TX",9,13750,65.45,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Concho County, TX",1,2827,35.37,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Cooke County, TX",27,41393,65.23,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Coryell County, TX",25,76737,32.58,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Cottle County, TX",0,1363,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Crane County, TX",2,4765,41.97,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Crockett County, TX",0,3513,0.00,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Crosby County, TX",3,5567,53.89,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Culberson County, TX",1,2149,46.53,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Dallam County, TX",5,7273,68.75,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Dallas County, TX",10355,2635888,392.85,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Dawson County, TX",6,12974,46.25,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Deaf Smith County, TX",3,18277,16.41,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Delta County, TX",2,5349,37.39,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Denton County, TX",1570,919324,170.78,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"DeWitt County, TX",10,20174,49.57,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Dickens County, TX",1,2140,46.73,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Dimmit County, TX",8,9925,80.60,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Donley County, TX",3,3308,90.69,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
"Duval County, TX",1,11058,9.04,AMA Physician Masterfile 2019; Census County Pop. Estimates 2020
